countrycode,countryname,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
TUN,Tunisia,PF,PF,PF,NF,NF,NF,NF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,PF,F,F
TUR,Turkey,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
TKM,Turkmenistan,,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
TUV,Tuvalu,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
UGA,Uganda,PF,NF,NF,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,NF,NF
UKR,Ukraine,,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,F,F,F,F,F,PF,PF,PF,PF,PF,PF
ARE,United Arab Emirates,NF,NF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
GBR,United Kingdom,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
USA,United States,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
URY,Uruguay,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
UZB,Uzbekistan,,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
VUT,Vanuatu,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
VEN,"Venezuela, RB",F,F,PF,PF,PF,PF,F,F,F,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
VNM,Vietnam,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
YEM,"Yemen, Rep.",PF,PF,PF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,PF,PF,PF,PF,NF,NF,NF,NF,NF,NF,NF
ZMB,Zambia,PF,F,F,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
ZWE,Zimbabwe,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF
