Country Name,Country Code,YR2000,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013
Rwanda,RWA,13.94406161,16.10052696,16.59505472,17.08958249,17.58411026,18.07863802,18.35427645,18.62991488,18.9055533
Samoa,WSM,60.42402827,60.42402827,60.42402827,60.42402827,60.42402827,60.42402827,60.42402827,60.42402827,60.42402827
San Marino,SMR,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,STP,58.33333333,57.83333333,57.33333333,56.83333333,56.33333333,55.83333333,55.83333333,55.83333333,55.83333333
Saudi Arabia,SAU,0.454484135,0.454484135,0.454484135,0.454484135,0.454484135,0.454484135,0.454484135,0.454484135,0.454484135
Senegal,SEN,46.2161741,44.83976523,44.6320054,44.42424557,44.21648574,44.00872591,43.80096608,43.59320625,43.38544642
Serbia,SRB,28.12714384,28.85204665,29.39400869,29.93597073,30.47793277,31.01989481,31.03590213,31.05190944,31.06791676
Seychelles,SYC,88.41304348,88.41304348,88.41304348,88.41304348,88.41304348,88.41304348,88.41304348,88.41304348,89.38461538
Sierra Leone,SLE,40.48212801,38.85286783,38.58132447,38.3097811,38.03823774,37.76669438,38.64782488,39.52895539,40.4100859
Singapore,SGP,24.40298507,23.55907781,23.52517986,23.35714286,23.35714286,23.29059829,23.22443182,23.15864023,23.12588402
Slovak Republic,SVK,39.93762994,40.1954262,40.22453222,40.25363825,40.29112082,40.31939448,40.32606887,40.33022792,40.33438696
Slovenia,SVN,61.22144985,61.75769613,61.79741807,61.83714002,61.87686197,61.91658391,61.9265144,61.93644489,61.94637537
Solomon Islands,SLB,81.02893891,79.86423723,79.66416577,79.46409432,79.26402287,79.06395141,78.86387996,78.6638085,78.46373705
Somalia,SOM,11.97915006,11.24462014,11.12219849,10.99977684,10.87735518,10.75493353,10.63251188,10.51009022,10.38766857
South Africa,ZAF,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524
Spain,ESP,34.02192385,35.02166419,35.3992707,35.80825982,36.20539045,36.49367013,36.57143714,36.61556146,36.68379281
Sri Lanka,LKA,34.9545527,33.72667836,33.6788391,33.63099984,33.58316058,33.53532132,33.43007495,33.32482858,33.2195822
St. Kitts and Nevis,KNA,42.30769231,42.30769231,42.30769231,42.30769231,42.30769231,42.30769231,42.30769231,42.30769231,42.30769231
St. Lucia,LCA,34.75409836,34.16393443,34.06557377,33.96721311,33.86885246,33.7704918,33.67213115,33.57377049,33.47540984
St. Vincent and the Grenadines,VCT,66.66666667,67.17948718,67.69230769,68.20512821,68.71794872,69.23076923,69.23076923,69.23076923,69.23076923
Sudan,SDN,12.19829966,11.75785774,11.68445286,11.61104377,11.53763889,11.4642298,8.378619529,8.305210438,8.231805556
Suriname,SUR,98.66025641,98.50641026,98.48076923,98.45512821,98.42948718,98.40384615,98.37948718,98.35512821,98.33076923
Swaziland,SWZ,30.11627907,31.70930233,31.96511628,32.22093023,32.47674419,32.73255814,33,33.26744186,33.53488372
